title,release_date,length,type,director,actors,synopsis,sessions,rating
Les Gardiens de la Galaxie 3,3 mai 2023,2h 30min,"Action, Fantastique, Science Fiction",James Gunn,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista']","Notre bande de marginaux favorite a quelque peu changé. Peter Quill, qui pleure toujours la perte de Gamora, doit rassembler son équipe pour défendre l’univers et protéger l’un des siens. En cas d’échec, cette mission pourrait bien marquer la fin des Gardiens tels que nous les connaissons.",1027,"{'critics': 3.6, 'audience': 4.3}"
Jeanne du Barry,16 mai 2023,1h 56min,"Drame, Historique, Romance", Maïwenn,"['Maïwenn', 'Johnny Depp', 'Benjamin Lavernhe']","Jeanne Vaubernier, fille du peuple avide de s’élever socialement, met à profit ses charmes pour sortir de sa condition. Son amant le comte Du Barry, qui s’enrichit largement grâce aux galanteries lucratives de Jeanne, souhaite la présenter au Roi. Il organise la rencontre via l’entremise de l’influent duc de Richelieu.",1202,"{'critics': 3.1, 'audience': 3.6}"
Fast & Furious X,17 mai 2023,2h 21min,Action,Louis Leterrier,"['Vin Diesel', 'Michelle Rodriguez', 'Jason Momoa']","Dans FAST & FURIOUS 5, Dom et son équipe avaient fait tomber l’infâme ponte de la drogue brésilienne, Hernan Reyes. Ils étaient loin de se douter que son fils avait assisté impuissant à la scène et qu’il avait passé ces douze dernières années à échafauder sa vengeance.",954,"{'critics': 2.9, 'audience': 3.5}"
La Petite sirène,24 mai 2023,2h 10min,"Aventure, Famille, Fantastique",Rob Marshall,"['Halle Bailey', 'Jonah Hauer-King', 'Martin Faliu']","Ariel est une jeune sirène belle et fougueuse dotée d’un tempérament d’aventurière. Rebelle dans l’âme, elle n’a de cesse d’être attirée par le monde qui existe par-delà les flots. Au détour de ses escapades à la surface, elle va tomber sous le charme du prince Eric.",987,"{'critics': 2.5, 'audience': 1.9}"
"Super Mario Bros, le film",5 avril 2023,1h 32min,"Animation, Comédie, Famille","Aaron Horvath, Michael Jelenic","['Pierre Tessier', 'Chris Pratt', 'Jérémie Covillault']","Alors qu’ils tentent de réparer une canalisation souterraine, Mario et son frère Luigi, tous deux plombiers, se retrouvent plongés dans un nouvel univers féerique à travers un mystérieux conduit.",678,"{'critics': 3.1, 'audience': 4.1}"
L'Amour et les Forêts,24 mai 2023,1h 45min,"Drame, Thriller",Valérie Donzelli,"['Virginie Efira', 'Melvil Poupaud', 'Dominique Reymond']","Quand Blanche croise le chemin de Gregoire, elle pense rencontrer celui qu’elle cherche. Les liens qui les unissent se tissent rapidement et leur histoire se construit dans l’emportement. Le couple déménage, Blanche s’éloigne de sa famille, de sa sœur jumelle, s’ouvre à une nouvelle vie. Mais fil après fil, elle se retrouve sous l’emprise d’un homme possessif et dangereux.",829,"{'critics': 3.8, 'audience': 3.9}"
L'Arbre à voeux,17 mai 2023,1h 30min,"Aventure, Animation, Famille",Ricard Cussó,"['Miranda Tapsell', 'Sophie Pyronnet', 'Miranda Tapsell']","Tous les animaux vivent en harmonie dans la Cité Sanctuaire, protégés par un Arbre à Vœux sacré, qui les maintient à l’abri des dangers du monde extérieur. Kerry, une jeune opossum, rêve d’aventure. Alors qu’elle a égoïstement mis en péril la paix qui y régnait, elle doit traverser les terres sauvages entourant la Cité Sanctuaire pour réparer les dégâts qu’elle y a causés.",674,"{'critics': 3.0, 'audience': 2.6}"
Les Trois Mousquetaires: D'Artagnan,5 avril 2023,2h 01min,"Aventure, Historique",Martin Bourboulon,"['François Civil', 'Vincent Cassel', 'Romain Duris']","Du Louvre au Palais de Buckingham, des bas-fonds de Paris au siège de La Rochelle… dans un Royaume divisé par les guerres de religion et menacé d’invasion par l’Angleterre, une poignée d’hommes et de femmes vont croiser leurs épées et lier leur destin à celui de la France.",453,"{'critics': 3.7, 'audience': 4.0}"
Le Principal,10 mai 2023,1h 22min,Drame,Chad Chenouga,"['Roschdy Zem', 'Yolande Moreau', 'Marina Hands']","Sabri Lahlali, Principal adjoint d’un collège de quartier, est prêt à tout pour que son fils, sur le point de passer le brevet, ait le dossier scolaire idéal. Mais il ne sait pas jusqu’où son entreprise va le mener...",692,"{'critics': 3.3, 'audience': 3.2}"
L'Exorciste du Vatican,10 mai 2023,1h 43min,"Biopic, Fantastique, Epouvante-horreur",Julius Avery,"['Russell Crowe', 'Daniel Zovatto', 'Alex Essoe']","Inspiré des véritables archives du Père Gabriele Amorth, exorciste en chef du Vatican. Le Père Gabriele Amorth enquête suite à la découverte terrifiante d'un jeune garçon possédé. Ses investigations le mèneront à dévoiler une conspiration séculaire que le Vatican a désespérément tenté de maintenir dans l'oubli.",449,"{'critics': 2.9, 'audience': 2.8}"
Omar la fraise,24 mai 2023,1h 32min,Drame,Elias Belkeddar,"['Reda Kateb', 'Benoît Magimel', 'Meriem Amiar']","Omar la Fraise est un bandit à l’ancienne. Contraint à la cavale en Algérie, il vit de petites magouilles, accompagné de son acolyte Roger. Après avoir régné sur le milieu du banditisme français durant des décennies, ils doivent ensemble accepter leur nouvelle vie...",573,"{'critics': 3.4, 'audience': 3.1}"
Hawaii,10 mai 2023,1h 44min,Comédie,Melissa Drigeard,"['Bérénice Bejo', 'Élodie Bouchez', 'Émilie Caen']","13 janvier 2018. 8h07. Une alerte au missile balistique sème la panique sur l’île de Hawaï. Persuadés qu’ils vont mourir, des amis venus passer leurs vacances en bande, se disent ce qu’ils n’ont jamais osé s’avouer. Mais il s’agit d’une fausse alerte...",553,"{'critics': 2.5, 'audience': 2.7}"
Pour l’honneur,3 mai 2023,1h 37min,Comédie,Philippe Guillard,"['Olivier Marchal', 'Olivia Bonamy', 'Mathieu Madenian']","Deux petits villages du Sud de la France se livrent depuis toujours une impitoyable guerre de clocher, symbolisée par un redoutable derby entre les deux équipes de rugby. L'arrivée inattendue de demandeurs d’asile va bouleverser la vie de ces deux villages.",383,"{'critics': 3.0, 'audience': 3.0}"
Le Cours de la vie,10 mai 2023,1h 30min,Comédie dramatique,Frédéric Sojcher,"['Agnès Jaoui', 'Jonathan Zaccaï', 'Géraldine Nakache']","Noémie retrouve Vincent, son amour de jeunesse, dans l'école de cinéma dont il est désormais directeur. A travers une masterclass hors norme, elle va apprendre à Vincent et ses élèves que l'art d'écrire un scénario c'est l'art de vivre passionnément.",523,"{'critics': 3.3, 'audience': 3.6}"
Umami,17 mai 2023,1h 31min,"Comédie, Drame",Slony Sow,"['Gérard Depardieu', 'Sandrine Bonnaire', 'Bastien Bouillon']","Gabriel Carvin est un chef étoilé de grande renommée. Lorsque sa santé et sa vie de famille se détériorent, il décide de partir à l’autre bout du monde. Direction le Japon, à la recherche d’un chef japonais qui l’avait battu à un concours de cuisine 40 ans plus tôt.",483,"{'critics': 1.9, 'audience': 2.8}"
Les Chevaliers du Zodiaque,24 mai 2023,1h 52min,"Action, Aventure, Fantastique",Tomasz Baginski,"['Mackenyu', 'Famke Janssen', 'Sean Bean']","Seiya, un adolescent au caractère bien trempé, a l'habitude de participer à des combats pour gagner de quoi survivre dans la rue, tout en recherchant sa soeur qui a été enlevée. Durant un combat, il puise involontairement dans des pouvoirs mystiques insoupçonnés...",271,"{'critics': 1.5, 'audience': 1.8}"
Hokusai,26 avril 2023,1h 30min,"Biopic, Drame, Historique",Hajime Hashimoto,"['Yûya Yagira', 'Min Tanaka', 'Hiroshi Abe']","Japon, XVIIIème siècle. Le jeune Shunrô, apprenti peintre, est exclu de son école à cause de son tempérament impétueux et du style peu conventionnel de ses estampes. Personne n’imagine alors qu’il deviendra Hokusai, célèbre auteur de la Grande vague de Kanagawa.",333,"{'critics': 3.2, 'audience': 3.4}"
Evil Dead Rise,19 avril 2023,1h 37min,"Fantastique, Epouvante-horreur",Lee Cronin,"['Lily Sullivan', 'Alyssa Sutherland', 'Morgan Davies']","Beth rend visite à sa grande sœur Ellie et ses trois enfants. Mais leurs retrouvailles tournent au cauchemar, quand elles découvrent un mystérieux livre dans le sous-sol de l’immeuble, dont la lecture libère des démons qui prennent possession des vivants...",188,"{'critics': 3.1, 'audience': 2.9}"
Showing Up,3 mai 2023,1h 48min,"Comédie, Drame",Kelly Reichardt,"['Michelle Williams', 'Hong Chau', 'André Benjamin']","À quelques semaines du vernissage de son exposition, le quotidien d’une artiste et son rapport aux autres. Le chaos de sa vie va devenir sa source d’inspiration...",296,"{'critics': 3.7, 'audience': 3.0}"
Je verrai toujours vos visages,29 mars 2023,1h 58min,Drame,Jeanne Herry,"['Adèle Exarchopoulos', 'Dali Benssalah', 'Leïla Bekhti']","Depuis 2014, en France, la Justice Restaurative propose à des personnes victimes et auteurs d’infraction de dialoguer dans des dispositifs sécurisés, encadrés par des professionnels et des bénévoles comme Judith, Fanny ou Michel.",233,"{'critics': 4.1, 'audience': 4.4}"
Notre tout petit petit mariage,26 avril 2023,1h 23min,Comédie,Frédéric Quiring,"['Ahmed Sylla', 'Camille Lou', 'Grégoire Bonnet']","Max et Lou se sont fait une promesse. Pour leur mariage ce sera seulement eux et leurs témoins. Mais ça… C’était sans compter sur l’ENORME fête surprise qui les attend ! Ils voulaient être 4, ils se retrouvent 300 et tout va très vite devenir incontrôlable… Ils rêvaient tout petit petit… Ils auront grand, TRÈS TRÈS grand !",193,"{'critics': 1.7, 'audience': 1.7}"
La Marginale,3 mai 2023,1h 37min,Comédie,Frank Cimière,"['Corinne Masiero', 'Vincent Chalambert', 'Karina Marimon']","Michèle, SDF, vit à l'aéroport d'Orly, vaguant entre les différents halls. Elle croise régulièrement Théo, jeune balayeur à l'aéroport. Atteint d'un handicap mental, il vit chez sa "" Tatie "" qui le surprotège. Un jour, Michèle fait une découverte des plus inattendues...",216,"{'critics': 2.2, 'audience': 2.6}"
Donjons & Dragons : L'Honneur des voleurs,12 avril 2023,2h 14min,"Aventure, Fantastique","Jonathan Goldstein (XII), John Francis Daley","['Chris Pine', 'Michelle Rodriguez', 'Regé-Jean Page']",Un voleur beau gosse et une bande d'aventuriers improbables entreprennent un casse épique pour récupérer une relique perdue. Les choses tournent mal lorsqu'ils s'attirent les foudres des mauvaises personnes.,167,"{'critics': 3.3, 'audience': 3.8}"
Suzume,12 avril 2023,2h 02min,"Aventure, Animation, Drame",Makoto Shinkai,"['Lévanah Solomon', 'Nanoka Hara', 'Benjamin Jungers']","Dans une petite ville paisible de Kyushu, une jeune fille de 17 ans, Suzume, rencontre un homme qui dit voyager à la recherche d’une porte. Décidant de le suivre dans les montagnes, elle découvre une porte délabrée trônant au milieu des ruines qu'elle décide d'ouvrir...",210,"{'critics': 3.8, 'audience': 4.2}"
Burning Days,26 avril 2023,2h 08min,"Drame, Thriller",Emin Alper,"['Selahattin Paşalı', 'Ekin Koç', 'Erol Babaoğlu']","Emre, un jeune procureur déterminé et inflexible, vient d’être nommé dans une petite ville reculée de Turquie. À peine arrivé, il se heurte aux notables locaux bien décidés à défendre leurs privilèges par tous les moyens, même les plus extrêmes.",262,"{'critics': 3.7, 'audience': 3.9}"
La Maleta,24 mai 2023,1h 48min,"Policier, Thriller",Jorge Dorado,"['Álvaro Morte', 'Verónica Echegui', 'María Eugenia Suárez']","Mario travaille à Madrid au bureau des objets trouvés. Un jour, on lui remet une valise trouvée au fond d’une rivière. À l’intérieur, Mario trouve des vêtements et des ossements d’enfants. La police n’étant pas résolue à enquêter, il décide alors de mener ses propres recherches, au péril de sa vie.",225,"{'critics': 2.0, 'audience': 2.8}"
Quand tu seras grand,26 avril 2023,1h 39min,Comédie dramatique,"Andréa Bescond, Eric Métayer","['Vincent Macaigne', 'Aïssa Maïga', 'Evelyne Istria']","Yannick est aide-soignant dans une maison de retraite. Entre pression permanente et restrictions budgétaires, il fait face aux manques de moyens avec une bonne humeur contagieuse. Mais lorsqu’on lui impose de partager le réfectoire avec une classe d’enfants, la situation se complique. Leur arrivée ainsi que celle de son animatrice, Aude, va bousculer le quotidien de tous et surtout des résidents...",206,"{'critics': 3.1, 'audience': 2.8}"
Le Royaume de Naya,29 mars 2023,1h 39min,"Aventure, Animation, Famille","Oleh Malamuzh, Oleksandra Ruban","['Nataliya Denisenko', 'Artem Pivovarov', 'Elena Kravets']","Par-delà les hautes Montagnes Noires se cache un royaume peuplé de créatures fantastiques. Naya, la nouvelle élue de cette forêt enchantée, rencontre Lucas, un jeune humain égaré dans les montagnes. À l’encontre des règles établies depuis des millénaires, ils vont se revoir...",140,"{'critics': 3.3, 'audience': 3.4}"
War Pony,10 mai 2023,1h 54min,Drame,"Gina Gammell, Riley Keough","['Stanley Good Voice Elk', 'Jojo Bapteise Whiting', 'Steven Yellow Hawk']","Deux jeunes hommes de la tribu Oglala Lakota vivent dans la réserve de Pine Ridge, dans le Dakota du Sud. Liés par leur quête d’appartenance à une société qui leur est hostile, ils tentent de tracer leur propre voie vers l’âge adulte.",253,"{'critics': 3.4, 'audience': 3.7}"
La Conférence,19 avril 2023,1h 48min,"Drame, Historique",Matti Geschonneck,"['Philipp Hochmair', 'Johannes Allmayer', 'Maximilian Brückner']","Au matin du 20 janvier 1942, des dignitaires du IIIe Reich se retrouvent dans une villa pour se mettre d'accord sur un plan d’élimination du peuple juif, appelé Solution Finale. Deux heures durant vont alors se succéder débats, manœuvres et jeux de pouvoir...",151,"{'critics': 3.4, 'audience': 3.8}"
La Vie pour de vrai,19 avril 2023,1h 50min,Comédie,Dany Boon,"['Dany Boon', 'Charlotte Gainsbourg', 'Kad Merad']","Tridan Lagache a passé sa vie au Club Med, à changer d’amis tous les 8 jours. À 50 ans, il démissionne du club de vacances mexicain où il est né, bien décidé à retrouver, 42 ans plus tard, son grand amour d’enfance, Violette.",148,"{'critics': 2.8, 'audience': 2.7}"
L'Homme debout,17 mai 2023,1h 26min,Comédie dramatique,Florence Vignon,"['Zita Hanrot', 'Jacques Gamblin', 'Cédric Moreau']","Pour décrocher un CDI dans l’entreprise de papier peint qui vient de l’engager, Clémence Alpharo, doit pousser Henri Giffard, VRP en fin de parcours, vers une retraite anticipée. Il faut rajeunir l’image de la petite boite. Mais Giffard refuse. Son travail semble être la seule chose qui donne encore un sens à sa vie.",281,"{'critics': 2.8, 'audience': 2.8}"
